id,position,category,session,question,expected_retrieval,retrieval_executed,retrieval_behavior_ok,expected_sources,retrieved_sources,answer_keyword_score,faithfulness,answer_relevancy,context_relevancy,correctness,overall_score,judge_latency_s,judge_error,judge_reason,hit_at_k,recall_at_k,precision_at_k,mrr,retrieval_count,relevant_count,retrieval_latency_s,generation_latency_s,total_latency_s,wall_latency_s,error
1,1,conversationnel,test_1,Bonjour,False,False,True,,,,0.0,1.0,0.0,1.0,3.0,4.448470599993016,,La réponse est conversationnelle et ne repose sur aucun contexte fourni.,,,,,0,0,0.0,13.134101799994824,13.134101799994824,13.13412000000244,
2,2,smartconnect,test_2,Qu'est-ce que SmartConnect ?,True,True,True,01_guide_installation_smartconnect.md,02_faq_problemes_courants.md | 07_configuration_reseau.md | 08_troubleshooting_guide.md | 02_faq_problemes_courants.md | 06_notes_version.md | 07_configuration_reseau.md,0.6666666666666666,1.0,1.0,1.0,1.0,5.0,7.133657900005346,,La réponse est basée sur les documents de présentation et d'installation de SmartConnect et utilise des clés de recherche pertinentes.,0.0,0.0,0.0,0.0,8,6,0.36429349999525584,10.968230900005437,13.02794630000426,13.028005100000883,
3,3,smartconnect,history_token,Comment obtenir un token JWT ?,True,True,True,03_documentation_api.md,03_documentation_api.md | 03_documentation_api.md | 02_faq_problemes_courants.md | 02_faq_problemes_courants.md | 02_faq_problemes_courants.md | 08_troubleshooting_guide.md,1.0,1.0,1.0,1.0,1.0,5.0,8.478309799989802,,La réponse est pertinente et correcte en répondant à la question de manière détaillée et en utilisant des informations issues de la documentation fournie.,1.0,1.0,0.3333333333333333,1.0,8,6,0.15532779999193735,20.604166199991596,22.97252060000028,22.97255970000697,
4,4,historique,history_token,Et quelle est sa durée de validité ?,True,True,True,03_documentation_api.md,03_documentation_api.md | 08_troubleshooting_guide.md | 03_documentation_api.md | 08_troubleshooting_guide.md | 02_faq_problemes_courants.md | 01_guide_installation_smartconnect.md,0.5,1.0,1.0,1.0,1.0,5.0,10.22214339999482,,La réponse est directement pertinente et correcte en utilisant le contexte fourni pour interpréter la question et répondre avec une réponse pertinente et correcte.,1.0,1.0,0.25,1.0,8,6,0.17231880000326782,8.185680599999614,19.978524100006325,19.978557299997192,
5,5,historique,history_token,Et comment le renouveler ?,True,True,True,03_documentation_api.md,03_documentation_api.md | 02_faq_problemes_courants.md | 08_troubleshooting_guide.md | 03_documentation_api.md | 02_faq_problemes_courants.md | 02_faq_problemes_courants.md,0.5,0.0,1.0,1.0,0.5,3.5,10.632855200004997,,"La réponse est pertinente et correcte dans un contexte où le renouvellement du token JWT est documenté. Cependant, dans le contexte fourni, il n'y a pas de documentation sur le renouvellement du token JWT, ce qui rend la réponse partiellement incorrecte.",1.0,1.0,0.3333333333333333,1.0,8,6,0.22225069999694824,14.993082300003152,24.72565680000116,24.725710699989577,
6,6,question_independante,test_6,Comment fonctionne SmartConnect ?,True,True,True,01_guide_installation_smartconnect.md,02_faq_problemes_courants.md | 02_faq_problemes_courants.md | 02_faq_problemes_courants.md | 07_configuration_reseau.md | 02_faq_problemes_courants.md | 01_guide_installation_smartconnect.md,0.3333333333333333,1.0,1.0,1.0,1.0,5.0,9.369331400012015,,"La réponse est complète, pertinente et correcte en fonction du contexte fourni. Elle est basée sur le guide d'installation réel et utilise des clés de recherche pertinentes.",1.0,1.0,0.3333333333333333,0.16666666666666666,8,6,0.2032428000093205,22.515383000005386,25.50555619999068,25.505577100004302,
7,7,invalide,test_7,jnk,False,False,True,,,,0.0,0.0,0.0,0.5,1.5,6.0138988999970024,,La réponse n'est pas pertinente et ne répond pas à la question. Elle ne respecte pas l'attente de comportement et ne se base pas sur le contexte fourni.,,,,,0,0,0.0,0.0,1.976874999993015,1.9768971000012243,
8,8,invalide,test_8,rdvfd,False,False,True,,,,0.0,0.0,0.0,0.5,1.5,6.965143299996271,,La réponse n'est pas pertinente car elle ne répond pas à la question et ne respecte pas l'attente de comportement attendu qui est de demander une reformulation ou d'indiquer poliment que la demande n'est pas compréhensible sans recherche RAG.,,,,,0,0,0.0,0.0,1.5885249999992084,1.588552900007926,
9,9,hors_sujet,test_9,Quelle est la capitale de la France ?,False,True,False,,01_guide_installation_smartconnect.md | 02_faq_problemes_courants.md | 03_documentation_api.md | 06_notes_version.md | 04_guide_utilisateur_dashboard.md | 04_guide_utilisateur_dashboard.md,0.0,0.0,0.0,0.0,0.0,0.0,7.541235900003812,,La réponse ne répond pas à la question demandée et utilise des documents non pertinents.,,,,,8,6,0.23187420000613201,3.094518899990362,5.239549099991564,5.23958350000612,
10,10,robustesse,test_10,Coment obtenir un token JWT ?,True,True,True,03_documentation_api.md,03_documentation_api.md | 03_documentation_api.md | 08_troubleshooting_guide.md | 07_configuration_reseau.md | 02_faq_problemes_courants.md | 03_documentation_api.md,1.0,1.0,1.0,1.0,1.0,5.0,10.872888400001102,,"La réponse est pertinente et correcte, elle est supportée par le contexte et elle répond directement et précisément à la question. Les documents récupérés sont utiles pour répondre et la réponse est conforme à l'expected_behavior et aux answer_keywords.",1.0,1.0,0.25,1.0,8,6,0.21641780000936706,14.620711499999743,17.263780599998427,17.263817500002915,
